the	57914	"英[ðə , ði]
美[ðə , ði]
指已提到或易领会到的人或事物;指独一无二的、正常的或不言而喻的人或事物;解说时用"
of	31568	"英[ɒv , əv]
美[əv , ʌv]
属于;关于;部分的;出身于;住在"
to	28747	"英[tu , tə]
美[tu , tə]
向，朝，往，对着;位于…方向;到，达;表示目的或意图;表示结果;表示原因;关着;关闭;关上"
and	20154	"英[ənd , ænd]
美[ənd , ænd]
和;与;同;又;而;加;加上;然后;接着"
in	20045	"英[ɪn]
美[ɪn]
在某一点;在中;在…内;在…中;进入;在里面;在内;在家里;在工作单位;流行的;时髦的;执政者;门路;知情者"
is	13837	"英[ɪz]
美[ɪz]
be 的第三人称单数现在时形式，常放在其他词后缩写为 -’s"
that	13461	"英[ðæt , ðət]
美[ðæt , ðət]
那，那个;那;那， 那个;那，那种，那些;用于某些动词、形容词和名词后，引出从句;如此…以至;多么;那样，那么;不很;不那么;那么"
for	9611	"英[fɔː(r) , fə(r)]
美[fɔːr , fər]
给，对，供;以帮助;为了;关于;因为;由于"
it	8799	"英[ɪt]
美[ɪt]
它;指婴儿，尤指性别不详者;指已知或正在发生的事实或情况"
are	8179	"英[ɑː(r) , eə(r)]
美[ɑːr , er]
是（be的第二人称单复数现在时，第一、三人称复数现在时）;公亩(等于100平方米)"
be	8004	"英[bi]
美[bi]
有;存在;位于;在;发生;与过去分词连用构成被动语态;与现在分词连用构成进行时;用于反意疑问句"
as	7596	"英[æz , əz]
美[æz , əz]
像;如同;作为;当作;像…一样，如同;和…一样;当…时;随着;照…方式;因为;由于"
on	7324	"英[ɒn]
美[ɑːn]
在…上;由…支撑着;在上;表示持续性;向前;穿在身上;穿着;戴着"
with	6283	"英[wɪð]
美[wɪð]
和…在一起;和;同;跟;有;具有;带有;用;使用;以;借"
have	5968	"英[hæv , həv]
美[hæv , həv]
有;持有;占有;由…组成;显示出，带有;与过去分词连用构成完成时"
by	5728	"英[baɪ]
美[baɪ]
靠近;在…旁边;常置于表示被动的动词后，表示使为者;表示方式;经过;表示保留或保存时用;短暂拜访"
